student_id,semester,total_absence,attendance_rate
BSCS-F22-M-01,Spring 2023,23.0,0.0
BSCS-F22-M-01,Fall 2023,22.0,0.0
BSCS-F22-M-02,Spring 2023,3.0,95.06655505476941
BSCS-F22-M-02,Fall 2023,1.0,94.84550691241111
BSCS-F22-M-03,Spring 2023,3.0,94.7794066874018
BSCS-F22-M-03,Fall 2023,2.0,93.52289649458739
BSCS-F22-M-04,Spring 2023,2.0,94.06997561133089
BSCS-F22-M-04,Fall 2023,3.0,95.5835361444521
BSCS-F22-M-05,Spring 2023,2.0,93.24627877322214
BSCS-F22-M-05,Fall 2023,2.0,96.70863345718176
BSCS-F22-M-06,Spring 2023,1.0,95.49679931810486
BSCS-F22-M-06,Fall 2023,1.0,96.81894327159287
BSCS-F22-M-07,Spring 2023,3.0,94.11835382751886
BSCS-F22-M-07,Fall 2023,1.0,95.4397748988701
BSCS-F22-M-08,Spring 2023,3.0,93.28594335577574
BSCS-F22-M-08,Fall 2023,2.0,94.18519347588264
BSCS-F22-M-09,Spring 2023,2.0,93.17940994966534
BSCS-F22-M-09,Fall 2023,3.0,95.15376780114381
BSCS-F22-M-10,Spring 2023,9.0,59.848901609449285
BSCS-F22-M-10,Fall 2023,10.0,59.090999515139714
BSCS-F22-M-11,Spring 2023,2.0,95.50659848262187
BSCS-F22-M-11,Fall 2023,3.0,96.15820973446628
BSCS-F22-M-12,Spring 2023,23.0,0.0
BSCS-F22-M-12,Fall 2023,21.0,0.0
BSCS-F22-M-13,Spring 2023,1.0,95.55250863140046
BSCS-F22-M-13,Fall 2023,2.0,96.56616603129387
BSCS-F22-M-14,Spring 2023,11.0,44.29296847648966
BSCS-F22-M-14,Fall 2023,13.0,44.49899203693785
BSCS-F22-M-15,Spring 2023,2.0,95.71264425398563
BSCS-F22-M-15,Fall 2023,1.0,95.34692204045564
BSCS-F22-M-16,Spring 2023,2.0,93.27932983205237
BSCS-F22-M-16,Fall 2023,2.0,93.30317423409082
BSCS-F22-M-17,Spring 2023,3.0,93.00733810171809
BSCS-F22-M-17,Fall 2023,1.0,95.72839157336522
BSCS-F22-M-18,Spring 2023,3.0,95.40145857273794
BSCS-F22-M-18,Fall 2023,1.0,95.75346567217933
BSCS-F22-M-19,Spring 2023,3.0,96.78082384799342
BSCS-F22-M-19,Fall 2023,3.0,93.34035258838537
BSCS-F22-M-20,Spring 2023,2.0,93.07238171557975
BSCS-F22-M-20,Fall 2023,3.0,96.09045455290435
BSCS-F22-M-21,Spring 2023,11.0,45.61439963409911
BSCS-F22-M-21,Fall 2023,13.0,46.61034225542687
BSCS-F22-M-22,Spring 2023,23.0,0.0
BSCS-F22-M-22,Fall 2023,23.0,0.0
BSCS-F22-M-23,Spring 2023,3.0,93.84389370731711
BSCS-F22-M-23,Fall 2023,1.0,94.67041433083087
BSCS-F22-M-24,Spring 2023,2.0,96.62062771845333
BSCS-F22-M-24,Fall 2023,1.0,93.4861179628466
BSCS-F22-M-25,Spring 2023,9.0,58.55456986243186
BSCS-F22-M-25,Fall 2023,10.0,59.568490191822555
BSCS-F22-M-26,Spring 2023,10.0,61.15521457735891
BSCS-F22-M-26,Fall 2023,11.0,60.582036918376346
BSCS-F22-M-27,Spring 2023,2.0,93.11048480199224
BSCS-F22-M-27,Fall 2023,1.0,94.5469213928031
BSCS-F22-M-28,Spring 2023,3.0,94.30258299291371
BSCS-F22-M-28,Fall 2023,1.0,96.66049069226082
BSCS-F22-M-29,Spring 2023,12.0,44.96919305976899
BSCS-F22-M-29,Fall 2023,11.0,44.15858011916697
BSCS-F22-M-30,Spring 2023,3.0,94.27124732606502
BSCS-F22-M-30,Fall 2023,1.0,95.186859325449
BSCS-F22-M-31,Spring 2023,2.0,95.19410555107548
BSCS-F22-M-31,Fall 2023,3.0,96.76040480555169
BSCS-F22-M-32,Spring 2023,9.0,59.430890504742926
BSCS-F22-M-32,Fall 2023,10.0,60.058162365700426
BSCS-F22-M-33,Spring 2023,3.0,95.23151444441112
BSCS-F22-M-33,Fall 2023,3.0,95.22100073751568
BSCS-F22-M-34,Spring 2023,2.0,94.11721785719887
BSCS-F22-M-34,Fall 2023,3.0,95.10174042859786
BSCS-F22-M-35,Spring 2023,9.0,61.448966496622106
BSCS-F22-M-35,Fall 2023,9.0,58.86413180646229
BSCS-F22-M-36,Spring 2023,2.0,94.51257794453393
BSCS-F22-M-36,Fall 2023,1.0,95.89249133205732
BSCS-F22-M-37,Spring 2023,11.0,60.43193844305782
BSCS-F22-M-37,Fall 2023,10.0,58.52044691422937
BSCS-F22-M-38,Spring 2023,1.0,96.80218016082274
BSCS-F22-M-38,Fall 2023,1.0,95.08478278540134
BSCS-F22-M-39,Spring 2023,9.0,60.421767689194134
BSCS-F22-M-39,Fall 2023,10.0,61.36890308354745
BSCS-F22-M-40,Spring 2023,3.0,95.57340462177957
BSCS-F22-M-40,Fall 2023,2.0,96.0582688615106
BSCS-F22-M-41,Spring 2023,1.0,93.7427421791078
BSCS-F22-M-41,Fall 2023,1.0,93.78581608278193
BSCS-F22-M-42,Spring 2023,1.0,93.67604067268627
BSCS-F22-M-42,Fall 2023,3.0,95.71547422628285
BSCS-F22-M-43,Spring 2023,3.0,94.03425552489921
BSCS-F22-M-43,Fall 2023,3.0,95.58942141365918
BSCS-F22-M-44,Spring 2023,11.0,60.524108408127574
BSCS-F22-M-44,Fall 2023,9.0,61.35155507731323
