student_id,semester,action_taken,remarks
BSCS-F22-M-01,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-01,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-02,Spring 2023,,Auto-generated record
BSCS-F22-M-02,Fall 2023,,Auto-generated record
BSCS-F22-M-03,Spring 2023,,Auto-generated record
BSCS-F22-M-03,Fall 2023,,Auto-generated record
BSCS-F22-M-04,Spring 2023,,Auto-generated record
BSCS-F22-M-04,Fall 2023,,Auto-generated record
BSCS-F22-M-05,Spring 2023,,Auto-generated record
BSCS-F22-M-05,Fall 2023,,Auto-generated record
BSCS-F22-M-06,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-06,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-07,Spring 2023,,Auto-generated record
BSCS-F22-M-07,Fall 2023,,Auto-generated record
BSCS-F22-M-08,Spring 2023,,Auto-generated record
BSCS-F22-M-08,Fall 2023,,Auto-generated record
BSCS-F22-M-09,Spring 2023,,Auto-generated record
BSCS-F22-M-09,Fall 2023,,Auto-generated record
BSCS-F22-M-10,Spring 2023,,Auto-generated record
BSCS-F22-M-10,Fall 2023,,Auto-generated record
BSCS-F22-M-11,Spring 2023,,Auto-generated record
BSCS-F22-M-11,Fall 2023,,Auto-generated record
BSCS-F22-M-12,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-12,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-13,Spring 2023,,Auto-generated record
BSCS-F22-M-13,Fall 2023,,Auto-generated record
BSCS-F22-M-14,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-14,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-15,Spring 2023,,Auto-generated record
BSCS-F22-M-15,Fall 2023,,Auto-generated record
BSCS-F22-M-16,Spring 2023,,Auto-generated record
BSCS-F22-M-16,Fall 2023,,Auto-generated record
BSCS-F22-M-17,Spring 2023,,Auto-generated record
BSCS-F22-M-17,Fall 2023,,Auto-generated record
BSCS-F22-M-18,Spring 2023,,Auto-generated record
BSCS-F22-M-18,Fall 2023,,Auto-generated record
BSCS-F22-M-19,Spring 2023,,Auto-generated record
BSCS-F22-M-19,Fall 2023,,Auto-generated record
BSCS-F22-M-20,Spring 2023,,Auto-generated record
BSCS-F22-M-20,Fall 2023,,Auto-generated record
BSCS-F22-M-21,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-21,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-22,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-22,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-23,Spring 2023,,Auto-generated record
BSCS-F22-M-23,Fall 2023,,Auto-generated record
BSCS-F22-M-24,Spring 2023,,Auto-generated record
BSCS-F22-M-24,Fall 2023,,Auto-generated record
BSCS-F22-M-25,Spring 2023,,Auto-generated record
BSCS-F22-M-25,Fall 2023,,Auto-generated record
BSCS-F22-M-26,Spring 2023,,Auto-generated record
BSCS-F22-M-26,Fall 2023,,Auto-generated record
BSCS-F22-M-27,Spring 2023,,Auto-generated record
BSCS-F22-M-27,Fall 2023,,Auto-generated record
BSCS-F22-M-28,Spring 2023,,Auto-generated record
BSCS-F22-M-28,Fall 2023,,Auto-generated record
BSCS-F22-M-29,Spring 2023,Suspension,Auto-generated record
BSCS-F22-M-29,Fall 2023,Suspension,Auto-generated record
BSCS-F22-M-30,Spring 2023,,Auto-generated record
BSCS-F22-M-30,Fall 2023,,Auto-generated record
BSCS-F22-M-31,Spring 2023,,Auto-generated record
BSCS-F22-M-31,Fall 2023,,Auto-generated record
BSCS-F22-M-32,Spring 2023,,Auto-generated record
BSCS-F22-M-32,Fall 2023,,Auto-generated record
BSCS-F22-M-33,Spring 2023,,Auto-generated record
BSCS-F22-M-33,Fall 2023,,Auto-generated record
BSCS-F22-M-34,Spring 2023,,Auto-generated record
BSCS-F22-M-34,Fall 2023,,Auto-generated record
BSCS-F22-M-35,Spring 2023,,Auto-generated record
BSCS-F22-M-35,Fall 2023,,Auto-generated record
BSCS-F22-M-36,Spring 2023,,Auto-generated record
BSCS-F22-M-36,Fall 2023,,Auto-generated record
BSCS-F22-M-37,Spring 2023,,Auto-generated record
BSCS-F22-M-37,Fall 2023,,Auto-generated record
BSCS-F22-M-38,Spring 2023,,Auto-generated record
BSCS-F22-M-38,Fall 2023,,Auto-generated record
BSCS-F22-M-39,Spring 2023,,Auto-generated record
BSCS-F22-M-39,Fall 2023,,Auto-generated record
BSCS-F22-M-40,Spring 2023,,Auto-generated record
BSCS-F22-M-40,Fall 2023,,Auto-generated record
BSCS-F22-M-41,Spring 2023,,Auto-generated record
BSCS-F22-M-41,Fall 2023,,Auto-generated record
BSCS-F22-M-42,Spring 2023,,Auto-generated record
BSCS-F22-M-42,Fall 2023,,Auto-generated record
BSCS-F22-M-43,Spring 2023,,Auto-generated record
BSCS-F22-M-43,Fall 2023,,Auto-generated record
BSCS-F22-M-44,Spring 2023,,Auto-generated record
BSCS-F22-M-44,Fall 2023,,Auto-generated record
