student_id,semester,core_subjects,elective_subjects,cgpa
BSCS-F22-M-01,Spring 2023,0.0,0.0,0.0
BSCS-F22-M-01,Fall 2023,0.0,0.0,0.0
BSCS-F22-M-02,Spring 2023,86.5,85.0,3.715412556115292
BSCS-F22-M-02,Fall 2023,86.5,85.0,3.6575477546904116
BSCS-F22-M-03,Spring 2023,89.5,89.5,3.671211941108174
BSCS-F22-M-03,Fall 2023,89.5,89.5,3.7976192194786105
BSCS-F22-M-04,Spring 2023,89.5,87.0,3.667640261128569
BSCS-F22-M-04,Fall 2023,89.5,87.0,3.6799644965303435
BSCS-F22-M-05,Spring 2023,86.5,89.5,3.813415413144567
BSCS-F22-M-05,Fall 2023,86.5,89.5,3.7656700297099155
BSCS-F22-M-06,Spring 2023,0.0,0.0,0.0
BSCS-F22-M-06,Fall 2023,0.0,0.0,0.0
BSCS-F22-M-07,Spring 2023,82.0,82.0,3.3165251662384247
BSCS-F22-M-07,Fall 2023,82.0,82.0,3.2060220691092125
BSCS-F22-M-08,Spring 2023,84.25,87.5,3.3848501138963245
BSCS-F22-M-08,Fall 2023,84.25,87.5,3.4623811714472703
BSCS-F22-M-09,Spring 2023,73.75,78.5,2.928671506985444
BSCS-F22-M-09,Fall 2023,73.75,78.5,2.8990530660907154
BSCS-F22-M-10,Spring 2023,53.25,76.0,2.308323955057846
BSCS-F22-M-10,Fall 2023,53.25,76.0,2.3117518291205665
BSCS-F22-M-11,Spring 2023,82.0,47.5,3.498992820228391
BSCS-F22-M-11,Fall 2023,82.0,47.5,3.339739025814344
BSCS-F22-M-12,Spring 2023,0.0,0.0,0.0
BSCS-F22-M-12,Fall 2023,0.0,0.0,0.0
BSCS-F22-M-13,Spring 2023,80.0,83.0,3.256166396565984
BSCS-F22-M-13,Fall 2023,80.0,83.0,3.3306476065717243
BSCS-F22-M-14,Spring 2023,77.75,78.5,2.8921044755878187
BSCS-F22-M-14,Fall 2023,77.75,78.5,2.9008511366290075
BSCS-F22-M-15,Spring 2023,79.75,86.5,3.4177290529970548
BSCS-F22-M-15,Fall 2023,79.75,86.5,3.5406233426281366
BSCS-F22-M-16,Spring 2023,88.25,90.0,3.7834951126871537
BSCS-F22-M-16,Fall 2023,88.25,90.0,3.6633343169149453
BSCS-F22-M-17,Spring 2023,71.5,82.5,2.9235399654896823
BSCS-F22-M-17,Fall 2023,71.5,82.5,2.9614451691058776
BSCS-F22-M-18,Spring 2023,86.75,86.0,3.514582948886824
BSCS-F22-M-18,Fall 2023,86.75,86.0,3.496622639438759
BSCS-F22-M-19,Spring 2023,87.5,87.0,3.566825528178412
BSCS-F22-M-19,Fall 2023,87.5,87.0,3.6640394868956374
BSCS-F22-M-20,Spring 2023,77.25,90.5,3.554716996073378
BSCS-F22-M-20,Fall 2023,77.25,90.5,3.461607391515129
BSCS-F22-M-21,Spring 2023,53.25,81.0,2.4439792621399237
BSCS-F22-M-21,Fall 2023,53.25,81.0,2.3593873977215045
BSCS-F22-M-22,Spring 2023,0.0,0.0,0.0
BSCS-F22-M-22,Fall 2023,0.0,0.0,0.0
BSCS-F22-M-23,Spring 2023,86.0,82.0,3.412027680251402
BSCS-F22-M-23,Fall 2023,86.0,82.0,3.574080004199685
BSCS-F22-M-24,Spring 2023,76.75,87.0,3.119156662327249
BSCS-F22-M-24,Fall 2023,76.75,87.0,3.121099483436171
BSCS-F22-M-25,Spring 2023,67.25,79.0,2.511330873102427
BSCS-F22-M-25,Fall 2023,67.25,79.0,2.525981842594386
BSCS-F22-M-26,Spring 2023,65.75,77.5,3.1083346596961303
BSCS-F22-M-26,Fall 2023,65.75,77.5,3.061379595969977
BSCS-F22-M-27,Spring 2023,87.75,87.5,3.2384946599025017
BSCS-F22-M-27,Fall 2023,87.75,87.5,3.3227866696810326
BSCS-F22-M-28,Spring 2023,84.5,83.5,3.3266859657080414
BSCS-F22-M-28,Fall 2023,84.5,83.5,3.3408870179898713
BSCS-F22-M-29,Spring 2023,63.25,78.5,2.5193687865695047
BSCS-F22-M-29,Fall 2023,63.25,78.5,2.402800710165549
BSCS-F22-M-30,Spring 2023,71.5,87.5,3.341567884449468
BSCS-F22-M-30,Fall 2023,71.5,87.5,3.2920625280191445
BSCS-F22-M-31,Spring 2023,79.25,86.5,3.2151993025509604
BSCS-F22-M-31,Fall 2023,79.25,86.5,3.289137847977206
BSCS-F22-M-32,Spring 2023,67.5,75.5,2.6186089050454253
BSCS-F22-M-32,Fall 2023,67.5,75.5,2.5967778121956044
BSCS-F22-M-33,Spring 2023,85.0,88.0,3.717041708726713
BSCS-F22-M-33,Fall 2023,85.0,88.0,3.6175029733337047
BSCS-F22-M-34,Spring 2023,83.25,86.5,3.5506941400064567
BSCS-F22-M-34,Fall 2023,83.25,86.5,3.410544718618911
BSCS-F22-M-35,Spring 2023,66.75,74.0,2.5433898473890464
BSCS-F22-M-35,Fall 2023,66.75,74.0,2.467485054415466
BSCS-F22-M-36,Spring 2023,72.75,76.5,2.7035822374419656
BSCS-F22-M-36,Fall 2023,72.75,76.5,2.858954593499701
BSCS-F22-M-37,Spring 2023,46.25,70.5,2.3140207291508577
BSCS-F22-M-37,Fall 2023,46.25,70.5,2.3705280690083157
BSCS-F22-M-38,Spring 2023,77.0,83.0,3.056966788638775
BSCS-F22-M-38,Fall 2023,77.0,83.0,2.9956922624221196
BSCS-F22-M-39,Spring 2023,76.0,86.5,3.3071604613726984
BSCS-F22-M-39,Fall 2023,76.0,86.5,3.1963789555455766
BSCS-F22-M-40,Spring 2023,86.0,85.0,3.5162820870321734
BSCS-F22-M-40,Fall 2023,86.0,85.0,3.6251815588482064
BSCS-F22-M-41,Spring 2023,80.75,87.5,3.453784220629749
BSCS-F22-M-41,Fall 2023,80.75,87.5,3.394916565341819
BSCS-F22-M-42,Spring 2023,76.75,84.5,3.0431468385240663
BSCS-F22-M-42,Fall 2023,76.75,84.5,3.0366993294563684
BSCS-F22-M-43,Spring 2023,83.0,89.0,3.310502580533033
BSCS-F22-M-43,Fall 2023,83.0,89.0,3.2672349069434232
BSCS-F22-M-44,Spring 2023,71.5,80.5,3.157484814989334
BSCS-F22-M-44,Fall 2023,71.5,80.5,3.140201115857843
